Title,Date,Link,Access Status
Scale-adaptive Knowledge Distillation with Superpixel for Hyperspectral Image Classification,"September 26, 2025",https://www.ingentaconnect.com/content/asprs/pers/pre-prints/content-25-00079r2,Unknown
"Review of NASA Earth Observations, Recent Science, and Practical Applications","August 15, 2025",https://www.ingentaconnect.com/content/asprs/pers/pre-prints/content-25-00010,Open Access content
CGMSANet: Hyperspectral Image Classification through Channel-Grouped Multi-Scale Feature Fusion and Attention Mechanisms,"October 14, 2025",https://www.ingentaconnect.com/content/asprs/pers/pre-prints/content-25-00035r4,Unknown
Joint Detection and Parameters Regression of Detailed Windows based on Facade Textures via an Adaptive Soft Teacher,"October 10, 2025",https://www.ingentaconnect.com/content/asprs/pers/pre-prints/content-25-00037r3,Unknown
Integration of Near-Proximal and Proximal Lidar Sensing for Fine-Resolution Forest Inventory,"June 27, 2025",https://www.ingentaconnect.com/content/asprs/pers/pre-prints/content-24-00122,Open Access content
Landsat-Derived Rainfed and Irrigated-Area Product for Conterminous United States for the Year 2020 (LRIP30 CONUS 2020) Using Supervised and Unsupervised Machine Learning on the Cloud,"October 6, 2025",https://www.ingentaconnect.com/content/asprs/pers/pre-prints/content-25-00081r3,Open Access content
Novel Spatiotemporal ConvLSTM-Based Cellular Automata Model for Simulating Urban Expansion,"October 10, 2025",https://www.ingentaconnect.com/content/asprs/pers/pre-prints/content-25-00030r3,Unknown
Stripe Noise Removal of ZY1-02D Hyperspectral Images Using an Improved Three-Dimensional U-Net Network,"September 29, 2025",https://www.ingentaconnect.com/content/asprs/pers/pre-prints/content-25-00095,Unknown
Spatiotemporal Continuous Shallow Water Bathymetry from a Kriged Kalman Filter,"June 9, 2025",https://www.ingentaconnect.com/content/asprs/pers/pre-prints/content-24-00051,Unknown
Leadership in COVID-19: Mitigation Strategies across Top 30 Gross Domestic Product Countries,"May 7, 2025",https://www.ingentaconnect.com/content/asprs/pers/pre-prints/content-24-00046,Unknown
RSIDetNet: An Efficient Oriented Small Object Detection Model for Remote Sensing Images Based on Cross-Scale Feature Fusion and Large Kernel Decomposition,"October 22, 2025",https://www.ingentaconnect.com/content/asprs/pers/pre-prints/content-25-00091r3,Unknown
An Efficient Irregular Texture Nesting Method via Hybrid NFP-SADE with Adaptive Container Resizing,"September 9, 2025",https://www.ingentaconnect.com/content/asprs/pers/pre-prints/content-25-00038r3,Open Access content
Analysis of Landslide Susceptibility of the Darjeeling District Using a Frequency Ratio Model and Geographical Weighted Regression,"April 30, 2025",https://www.ingentaconnect.com/content/asprs/pers/pre-prints/content-24-00049,Unknown
Thermal Point Cloud Generation and Evaluation from Uncalibrated Unmanned Aerial Vehicle&#8211;Visible and Infrared Camera Images Using Position and Orientation System Prior,"August 27, 2025",https://www.ingentaconnect.com/content/asprs/pers/pre-prints/content-25-00020r3,Unknown
Efficient Coral Survey Using Aerial Remote Sensing and Multi-modal Segmentation for Large-Scale Ecological Assessment,"April 1, 2025",https://www.ingentaconnect.com/content/asprs/pers/pre-prints/content-25-00007,Unknown
"Enhancing Residential Building Identification in a Coastal Texas City: An Integrated Framework Leveraging Remote Sensing, GIS, and Transfer Learning Techniques","June 9, 2025",https://www.ingentaconnect.com/content/asprs/pers/pre-prints/content-24-00048,Unknown
"Evaluating Three-Dimensional Elevation Program Lidar Consistency and Accuracy at Scale Using Cloud-Native, Open-Source Methods","October 23, 2025",https://www.ingentaconnect.com/content/asprs/pers/pre-prints/content-25-00093r2,Unknown
Assessing the Accuracy of a 2021 Kansas&#8211;Oklahoma Tallgrass Ecosystem Burn Area Map,"October 28, 2025",https://www.ingentaconnect.com/content/asprs/pers/pre-prints/content-25-00085r2,Open Access content
Lyme Disease Risk Map and Prioritizing Areas for Vaccine Deployment,"May 18, 2025",https://www.ingentaconnect.com/content/asprs/pers/pre-prints/content-2400045a,Unknown
LFSA-YOLOv7&#65306;A Novel Method for Ship Detection in Remote Sensing Images with Complex Backgrounds,"June 17, 2025",https://www.ingentaconnect.com/content/asprs/pers/pre-prints/content-25-00015,Unknown
A Novel Multi-level Feature Collaborative Matching Network for Optical and Synthetic Aperture Radar Image Registration,"September 24, 2025",https://www.ingentaconnect.com/content/asprs/pers/pre-prints/content-25-00052r3,Unknown
