Title,Authors,Pages,Access,URL,Abstract
Scale-adaptive Knowledge Distillation with Superpixel for Hyperspectral Image Classification,"Dong, Shuang; Li, Ying; Xie, Ming; Han, Tingting;","September 26, 2025",Subscribed content,https://doi.org/10.14358/PERS.25-00079R2,"Hyperspectral image (HSI) classification is a critical area in remote sensing with broad applications in geoscience. While deep learning methods have gained popularity for HSI classification, their potential remains underexplored due to limited labeled data. To address this, we propose a scale-adaptive knowledge distillation with superpixel framework that trains deep neural networks using unlabeled samples. The proposed framework incorporates three core components: (1) scale-adaptive superpixel knowledge distillation, (2) bilateral spatial–spectral attention mechanisms, and (3) three-dimensional (3D) hyperspectral data transformation. The distillation module implements self-supervised learning through dynamically generated soft labels based on cross-dimensional similarity metrics. The workflow proceeds through three stages: Initially, spatial–spectral joint distance metrics evaluate the affinity between unlabeled superpixels and target classes. Subsequently, these measurements inform probabilistic soft label assignments for each superpixel cluster. Finally, an end-to-end trainable dense convolutional network with dual attention pathways is refined by optimizing the divergence between the adaptive label distributions and network predictions. Additionally, 3D transformations, including spectral and spatial rotations of the HSI cube, are applied to maximize the utility of labeled data. Experiments on three public HSI data sets demonstrate that the proposed method achieves competitive accuracy and efficiency compared to existing approaches. The implementation code is available at https://github.com/San-dow/Awnsome-SAKDS_HSI."
Comparative Evaluation of Deep-Learning Models for Point Cloud Upsampling: Insights from Indoor Parking Lot Data Set,"Fatholahi, Sarah Narges; Yin, Shunde; Hu, Kristie; He, Hongjie; Yao, Kevin Yikai; Zhang, Dedong; Lu, Dening; Li, Jonathan;","January 2, 2026",Subscribed content,https://doi.org/10.14358/PERS.25-00083R3,"Upsampling of point clouds is a critical process in three-dimensional data processing, aimed at enhancing the resolution, uniformity, and overall quality of sparse and irregular point cloud data. This task becomes especially necessary in underground parking lots, where factors such as occlusions, reflective surfaces, and limited sensor coverage often result in incomplete or uneven point distributions. Accurate upsampling in these environments can significantly improve downstream tasks such as semantic segmentation, object detection, and spatial mapping by providing denser and more geometrically consistent reconstructions. In this paper, a comprehensive evaluation of four state-of-the-art deep-learning algorithms for point cloud upsampling is presented. Leveraging a novel, high-quality data set captured in a real-world indoor parking lot environment, the performance of these models is systematically assessed under conditions characterized by structural complexity and varying point densities. This comparative study evaluates each model’s ability to address sparsity and non-uniformity while preserving geometric fidelity and achieving uniform distribution in challenging indoor scenarios."
Stripe Noise Removal of ZY1-02D Hyperspectral Images Using an Improved Three-Dimensional U-Net Network,"Gao, Ruoheng; Dong, Xinfeng; Li, Na; Cui, Jing; Li, Tongtong; Wu, Jingkai; Bai, Wei; Zhang, Rui;","September 26, 2025",Subscribed content,https://doi.org/10.14358/PERS.25-00095R2,"The ZY1-02D satellite, equipped with China’s first civilian hyperspectral payload, provides valuable data for remote sensing applications. However, its hyperspectral images (HSIs) are often degraded by stripe noise, significantly limiting their practical utility. Traditional denoising methods are challenged by the complex spatial and spectral characteristics inherent to HSIs, frequently resulting in compromised image quality. Fusion residual block and attention mechanism U-Net (FEA–U-Net), a novel three-dimensional destriping network, is proposed to eliminate stripe noise in hyperspectral imagery. This framework innovatively integrates cross-dimensional attention mechanisms with deep residual learning. A composite loss function combining mean squared error and spectral angle was designed to ensure spectral fidelity before and after denoising. Through systematic evaluation across varying input band numbers, the optimal network configuration was determined. When evaluated on ZY1-02D data sets, state-of-the-art performance is achieved by FEA–U-Net, demonstrating superior geological information preservation and computational efficiency. Compared with existing methods, the highest reported denoising performance was observed, with peak signal-to-noise ratio and structural similarity index reaching 48.1681 and 0.9998, respectively. Spectral curve integrity is effectively preserved, enhancing lithological classification and mineral identification accuracy in hyperspectral imagery."
An Improved Manifold Learning Algorithm for Dimension Reduction of Fusion Data for Multispectral and Synthetic Aperture Radar Images,"Zheng, Zezhong; Huang, Jingfan; Yu, Shuang; Yu, Zhenlu;","March 16, 2026",Subscribed content,https://doi.org/10.14358/PERS.25-00111R2,"In the application of remote sensing data, the data obtained by a single sensor often cannot meet the actual needs, because the information contained in these data is often limited. Data fusion can improve the availability of these data, but it also brings the problem of information redundancy. In this paper, a whole set of multi-source remote sensing image-processing frameworks was constructed first and aimed at the problem of neighborhood selection in an isometric mapping (ISOMAP) algorithm; an improved ISOMAP algorithm based on the L1 norm (a sparse optimization technique that minimizes absolute value sums) was proposed to mine the inherent low-dimensional structure of multi-source remote sensing data and reduce the dimension of the data. In this paper, the traditional manifold learning algorithm is improved by developing a version of ISOMAP based on the L1 norm (L1-ISOMAP) for dimensionality reduction tasks. After dimensionality reduction, the support vector machine (SVM) and random forest (RF) are used to classify the dimensionality reduction data. The experimental results demonstrate that compared with other dimensionality reduction methods such as Pairwise Controlled Manifold Approximation Projection (PaCMAP), Uniform Manifold Approximation and Projection (UMAP), traditional ISOMAP, and other improved ISOMAP variants (achieving 96.90% overall accuracy with SVM and 98.69% with RF, with kappa coefficients of 0.96 and 0.98, respectively), our L1-ISOMAP achieves superior overall classification accuracy and exhibits stronger robustness in processing multi-source remote sensing data."
Semantic Change Detection with Constrained Dual-Head Convolutional Neural Network Architecture for Oil/Gas Well Site Monitoring,"Xu, Hongzhang; He, Hongjie; Zhang, Ying; Zhang, Dedong; Li, Jonathan;","December 1, 2025",Open Access content,https://doi.org/10.14358/PERS.25-00112R3,"High-resolution mapping of land disturbance and reclamation is important for assessing the cumulative environmental effects of oil/gas production. The growing availability of high-resolution satellite imagery, combined with recent advances in deep learning, offers a desirable solution for detecting land surface changes on disturbed land. In this study, we constructed the Alberta oil/gas wells semantic change detection (SCD) data set in Alberta, Canada, based on high-resolution satellite imagery from WorldView-2 and SPOT-6. The data set consists of 328 pairs of bitemporal images (512 × 512 pixels at 1.5-m resolution), along with corresponding semantic change maps, binary change maps, and land cover maps. In addition, we proposed a constrained dual-head convolutional neural network (CNN) framework that jointly learns semantic change and binary change tasks. Specifically, two segmentation heads are designed—one for semantic changes and one for binary changes—and are explicitly connected through a cosine similarity loss that enforces consistency between the two tasks. Taking High-Resolution Net (HRNet)-v2 as the backbone, our model was pretrained on the large-scale SEmantic Change detectiON Data Set (SECOND) and fine-tuned on our developed data set. Comparative experiments with BiSRNet, HGINet, and SCanNet demonstrate that our approach achieves superior performance, with the highest mean intersection over union (mIoU) (79.47%) and separated Kappa (SeK) (28.40%) after fine-tuning. Incorporating land cover maps as additional supervision further boosts results, with our approach reaching an mIoU of 80.05% and a SeK of 29.71%. These findings highlight the effectiveness of the proposed constrained dual-head CNN architecture and the benefit of leveraging land cover information for advancing SCD in remote sensing."
Perspective-Invariant Matching of Aerial–Terrestrial Images Based on Multi-Coplanar Geometry for Building Modeling,"He, Haiqing; Chen, Longyu; Zhou, Fuyang; Yuan, Ye; Liu, Jiahao; Wang, Zhenda;","March 5, 2026",Subscribed content,https://doi.org/10.14358/PERS.25-00113R2,"Multi-view images captured from both aerial and terrestrial perspectives exhibit substantial variations in viewpoints, pronounced geometric distortions, and significant scale changes, posing considerable challenges for the integrated three-dimensional (3D) modeling of buildings within an aerial–terrestrial collaborative framework. To address these challenges, this paper introduces a perspective-invariant matching method for aerial–terrestrial images based on multi-coplanar geometry, specifically tailored for building modeling. The proposed method develops an innovative multi-perspective transformation model that iteratively extracts multiple coplanar geometric relationships from two-dimensional imagery using local matching correlations. Furthermore, it deduces the functional interrelations among these planes to construct a tailored multi-coplanar geometric model for local matching domains. Subsequently, the local imagery is segmented into subimages across various perspective spaces, and a deep matching graph neural network (GNN) is used to discern point and line structures within these images. By applying inverse perspective transformations, the corresponding lines and points within the coplanar spaces are accurately reprojected onto the original multi-view images. Ultimately, aerial triangulation is conducted using cross-platform corresponding features to achieve refined building modeling. Experimental results demonstrate that our method surpasses existing techniques in reconstructing more detailed 3D models of buildings. Notably, the accuracy of cross-platform image matching exceeds 99.27%, highlighting the effectiveness and robustness of our proposed method."
Incorporating Directional Relationship Modelling for Building Change Detection from Very-High-Resolution Satellite Images,"Zha, Ying; Li, Mengmeng; Liu, Xuanguang;","February 26, 2026",Subscribed content,https://doi.org/10.14358/PERS.25-00114R2,"Detecting building changes from bitemporal very-high-resolution satellite images is often hindered by false positives, especially for tall structures, due to variations in sun azimuth and satellite viewing angles. To address this issue, we propose MDR-Net, a novel change detection network that models the directional relationship between buildings and their shadows. Unlike existing methods that rely on handcrafted rules and metadata (e.g., solar angles), MDR-Net automatically learns directional features from images using a customized directional modeling module (DMM). To further enhance feature representation, we introduce an adaptive feature fusion module (AFFM), which uses adaptive selection and dynamic adjustment strategies to emphasize critical features and effectively fuse directional information with bitemporal semantics. We evaluated MDR-Net on three building change detection data sets, i.e., Fuzhou (FZ), Wuhan (WH), and Guangzhou (GZ), and compared it with seven state-of-the-art methods: SMCD-Net-m, ChangeFormer, BIT, FC-Siam-diff, SNUNet, DGMA2-Net, and MSPSNet. The results showed that MDR-Net achieved the highest F1 scores of 93.84% and 82.22% on the FZ and WH data sets, respectively, evidently reducing false detections, particularly under large viewing-angle differences. In addition, our method, with fixed DMM weights and without sun azimuth information, successfully learns the directional relationship when retrained from the FZ to GZ data sets, demonstrating strong generalization to the public data set."
Momentum-Based Perturbation Decomposition for Transferable Three-Dimensional Point-Cloud Attacks,"Liu, Weiquan; Xie, Min; Huang, Xingwang; Su, Jiasheng; Sun, Yanwen; Lin, Shiwei; Su, Jinhe; Wang, Zongyue; Cai, Guorong;","February 15, 2026",Subscribed content,https://doi.org/10.14358/PERS.25-00116R2,"In the field of photogrammetry and remote sensing, three-dimensional point cloud data—acquired via airborne lidar, satellite stereo imagery, or terrestrial laser scanning—has emerged as the core data type for applications such as terrain mapping, urban modeling, disaster monitoring, and infrastructure inspection. The accuracy and reliability of these applications largely depend on the precise interpretation of point-cloud data. However, existing deep neural networks exhibit pronounced vulnerability to adversarial perturbation attacks that can mislead models into misclassifying targets, potentially leading to catastrophic consequences. Most of the current point cloud–perturbation methods rely on the white box–attack assumption, which is difficult to achieve in real application scenarios. To address this gap, this paper focuses on enhancing the transferability of point-cloud perturbations—the ability of adversarial samples generated for one model to mislead other uninvolved models. A novel adversarial point cloud–generation method, momentum-based decompose perturbation (MBDP) is proposed. The MBDP method decomposes adversarial perturbations into two orthogonal subperturbations. By integrating a momentum-based iterative fast sign algorithm, the MBDP method synchronously optimizes both subperturbations to generate adversarial samples that lie far from the original model’s decision boundary while maintaining cross-model generalizability. On both real-world remote sensing data sets and synthetic data sets, the MBDP method achieves great performance. By exposing cross-model vulnerabilities in photogrammetric point clouds, this work equips developers with a diagnostic tool to audit and subsequently harden artificial-intelligence–driven mapping and monitoring systems, laying the groundwork for more reliable geospatial products in disaster response, urban planning, and environmental conservation."
Toward Automatic Vector Extraction from Scanned Historical Aerial Photo Indexes,"Malek, Salim; Farella, Elisa Mariarosaria; Perda, Giulio; Cantoro, Gianluca; Remondino, Fabio;","March 9, 2026",Open Access content,https://doi.org/10.14358/PERS.25-00133R3,"National archives worldwide have recently dedicated significant efforts to preserve fragile historical collections (e.g., maps, documents, photographs) through scanning and digitization. Advancements in digital technologies have opened new opportunities for processing and accessing these materials; however, as these collections grow, significant challenges arise in efficiently managing, linking, and using vast volumes of digital data. This paper addresses the challenge imposed by the digital transformation of vast archive collections, with a focus on scanned materials preserved in historical photographic and mapping archives and intended for the creation of digital databases and online catalogues. This study targets the semi-automatic vectorization of aerial photo indexes (APIs), often referred to as finding aids for aerial reconnaissance sorties (i.e., maps on which aerial photo footprints [each corresponding to a historical aerial photo] from different surveying flight missions were manually drawn onto base topographic maps). Aerial images were captured during the 20th century for military, reconnaissance, and mapping purposes, and their footprints were then manually transposed onto reference maps. Currently, archives and mapping institutions managing creating digital databases and catalogues are manually addressing a demanding and time-consuming vectorization task, and automated solutions are highly needed. This contribution proposes a novel and comprehensive semi-automatic vectorization pipeline that leverages and integrates computer vision techniques and uses deep learning and computational geometry for detecting, isolating, and polygonizing aerial image footprints in APIs. The methodology is applied to a large collection of APIs scanned by the Italian National Historical AirPhoto Archive at the Italian National Institute for Cataloguing and Documentation of the Ministry of Culture and will be added to the online database and WebGIS catalogue recently set up to disseminate copies of historical aerial photographs."
Remote Sensing Image Denoising Network Based on Locally Enhanced Window Transformer,"Zhang, Shaohua; Li, Wenyun; Bian, Hefang;","March 2, 2026",Subscribed content,https://doi.org/10.14358/PERS.25-00142R2,"Remote sensing images serve as indispensable and pivotal carriers in diverse fields, including natural resource management, ecological environment protection, and urban–rural construction planning. Acquiring high-quality remote sensing images is particularly critical for practical applications. However, limitations such as adverse weather conditions and equipment constraints often hinder the acquisition of high-quality data. To tackle this challenge, this paper proposes a U-shaped Transformer network architecture—incorporating locally enhanced windows and denoted as ULTNet—for restoring low-quality remote sensing images to high-quality ones. The network leverages a locally enhanced transformer (LT) block, equipped with locally enhanced windows, for attention extraction. This block applies a local self-attention mechanism within nonoverlapping spatial windows, effectively reducing computational complexity while capturing richer global dependencies to enable end-to-end remote sensing image restoration. Both quantitative and qualitative analyses demonstrate that the proposed method exhibits superior restoration performance and strong generalization capabilities."
