Title,Authors,Pages,Access,URL,Abstract
Landslide Evolution Assessment Based on Sequential InSAR Methods in the Kunming Transmission Line Corridor,"Wen, Gang; Li, Yizuo; Xie, Chuhang; Zheng, Zezhong; Ma, Yi; Zhou, Fangrong; Su, Baiyan; Tang, Huahui",pp. 19-25(7),Subscribed content,https://www.ingentaconnect.com/contentone/asprs/pers/2025/00000091/00000001/art00009;jsessionid=7gkk40y09bk8.x-ic-live-02,"The security of the transmission line corridor is an important guar- antee for the sustainable supply of electricity and an important prerequisite for the rapid development of the economy. Transmission corridors located in high mountains and valleys are often threatened by geological disasters, which seriously affect their stable operation. This research investigates the landslide in the Kunming transmission corridor using 79 Sentinel-1A SAR images from July 2020 to October 2021. Using interferometric synthetic aperture radar (InSAR) methods, deformation changes before the landslide are analyzed. Factors like precipitation, lithology, and vegetation coverage demonstrate a correlation with landslide occurrence. Seasonal variations in deformation were related to precipitation. The landslide's primary causes are attributed to precipitation, carbonate karstification, and vegetation coverage. Ultimately, this research establishes a correlation between deformation changes and influencing factors in the Kunming transmission corridor, contributing to a deeper understanding of landslide evolution and ensuring the corridor's security for sustainable electricity supply and economic development."
Adaptive Orientation Object-Detection Method for Large-scale Remote Sensing Images Based on Multi-scale Block Fusion,"Wang, Yanli; Dong, Zhipeng; Wang, Mi; Ding, Yi",pp. 27-34(8),Subscribed content,https://www.ingentaconnect.com/contentone/asprs/pers/2025/00000091/00000001/art00012;jsessionid=7gkk40y09bk8.x-ic-live-02,"Object detection is crucial to extracting and analyzing information autonomously from high-resolution remote sensing images (HRSIs). To address ideal blocking for large-scale  HRSI object detection, this study uses a novel adaptive orientation object-detection method for largescale HRSIs based on multi-scale block fusion. An adaptive orientation object-detection  framework based on a convolutional neural network is applied to detect diverse objects of large-scale HRSIs through different block scales; average precision (AP) values of diverse object  detection results are calculated at different block scales. Then, block scales matching the largest AP values of diverse objects are determined based on statistical results of the AP  values of the diverse object at different block scales. Finally, object-detection results at block scales matching the largest AP values of diverse objects are fused by the non-maximum  suppression algorithm to achieve large-scale HRSI object-detection results. Experimental findings reveal that the proposed method is better than any single block-scale object-detection  method, resulting in satisfactory large-scale HRSI object-detection results."
RSODNet: Lightweight Remote Sensing Image Object Detection Combined with BCDNS Compression Algorithm,"Zhu, Xinyu; Zhang, Zhihua; Wang, Wei; Hou, Yuhao; Yang, Shuwen",pp. 35-51(17),Subscribed content,https://www.ingentaconnect.com/contentone/asprs/pers/2025/00000091/00000001/art00013;jsessionid=7gkk40y09bk8.x-ic-live-02,"In recent years, with the gradual increase of neural network Params (the aggregate of trainable elements in a model, including weights, biases, and other adjustable elements)  and calculation volume, model compression within an acceptable range of network accuracy variations has emerged as a prominent research focus in the field of deep learning. Model  pruning and knowledge distillation have been widely used for reducing the complexity and storage cost of neural networks. This study designs the Remote Sensing Object Detection Network  (RSODNet), a lightweight model for remote sensing image object detection, and proposes bridging cross-task distillation network slimming (BCDNS) as a method that integrates model pruning and  knowledge distillation. The experiment results indicate that RSODNet outperforms the YOLOv8 model in various metrics while maintaining almost unchanged Params and calculation volume. The  BCDNS method eliminates redundant channels while preserving a priori knowledge of the initial model intact. This study offers technical support for compressed models used in object detection  from remote sensing images"
"Monitoring and Predictive Analysis of Surface Deformation Using Combined SBAS-InSAR Technology and CS-Elman Neural Network: A Case Study of Wenchuan County, Sichuan Province, China","Chen, Kuayue; Wang, Baoyun",pp. 53-63(11),Subscribed content,https://www.ingentaconnect.com/contentone/asprs/pers/2025/00000091/00000001/art00015;jsessionid=7gkk40y09bk8.x-ic-live-02,"Earthquakes deposit loose materials in gullies, making seismic mountain gorges prone to landslides and debris flows. Monitoring and predicting ground deformation in these areas is essential. This study introduces a CS-Elman prediction model based on SBAS-InSAR monitoring. SBAS-InSAR technology analyzes 36 Sentinel-1A im- ages from Wenchuan County, Sichuan Province, China (June 2021 to October 2023), focusing on deformation areas and precipitation data. The CS algorithm optimizes the Elman network's parameters, using SBAS-InSAR data as training samples. Validation shows that: (1) Wenchuan County experiences varied deformation, with Banzi Gully in Miansi Town showing the highest uplift at 183.74 mm/a due to heavy rain. (2) As sample size increases, prediction error decreases and accuracy improves. Predictions suggest ongo- ing uplift at about 4.50 mm per month above Cutou Gully over the next four months, highlighting the need for continued monitoring."
Remote Sensing Tailing Pond Image–Detection Method Based on YOLOv8-RVSW,"Dang, Zhengjun; Li, Kun",pp. 735-744(10),Subscribed content,https://www.ingentaconnect.com/contentone/asprs/pers/2024/00000090/00000012/art00008;jsessionid=9a8ib0ew1wvq.x-ic-live-03,"This study proposes an automated tailings pond-detection method based on the YOLOv8-RVSW model to address the limitations of traditional surveys. A tailings pond dataset was created using high-resolution satellite images, and data quality was improved through data augmentation techniques. In the model, YOLOv8's backbone feature network was replaced with RepViT to effectively capture global and local information. Additionally, the C2f module was enhanced to QuadraSE_C2f to focus on essential feature channels, and WIoUv3 was used as the loss function to improve object localization and detection accuracy. Experimental results indicate that compared with the original model, accuracy increased by 3.9% to 97.4%, recall improved by 4.9% to 96.3%, and mean average precision rose by 2.4% to 98.5%. This method significantly enhances the automation and intelligence of tailings pond monitoring, providing an effective tool for emergency monitoring."
Monitoring LULC Changes in Babil Province for Sustainable Development Purposes Within the Period 2004–2023,"Jassoom, Hayder Hameed; Abdoon, Rabab Saadoon",pp. 745-753(9),Open Access content,https://www.ingentaconnect.com/contentone/asprs/pers/2024/00000090/00000012/art00010;jsessionid=9a8ib0ew1wvq.x-ic-live-03,"Land use and land cover studies are fundamental to achieving sustainable development goals by providing the information necessary for informed decision-making in social and economic development and natural resource management. This study relied on remote sensing data to analyze and assess land use and land cover changes in Babil Province, Iraq, over the past two decades. The study focused on identifying the patterns and factors influencing these changes, using Landsat satellite imagery to create digital maps classifying land into four main categories: urban lands, bare soil lands, water bodies, and vegetation lands. The results showed a noticeable expansion of urban lands at the expense of bare soil lands, primarily attributed to population growth, economic development, and improved security conditions. This study underscores the importance of sustainable land management and urban planning in Babil Province. These results highlight the importance of sustainable land management in Babil Province, including sound urban planning considering urban expansion's environmental, social, and economic effects. The classification was implemented using a maximum likelihood classifier, and the accuracy assessment yielded satisfactory results with an overall accuracy of 93.5517%. This study encourages using artificial intelligence to track and analyze land use changes in Babil."
Image Fusion in Remote Sensing: An Overview and Meta-Analysis,"Albanwan, Hessah; Qin, Rongjun; Tang, Yang",pp. 755-775(21),Open Access content,https://www.ingentaconnect.com/contentone/asprs/pers/2024/00000090/00000012/art00012;jsessionid=9a8ib0ew1wvq.x-ic-live-03,"Remote sensing image fusion is consistently used to turn raw images of different resolutions, sources, and modalities into accurate, complete, and spatiotemporally coherent images. It facilitates downstream applications such as pan sharpening, change detection, and classification. However, image fusion solutions are highly disparate to various remote sensing problems and are often narrowly defined in existing reviews as topical applications (e. g., pan sharpening). Theoretically, image fusion can be applied to any gridded data through pixel-level operations; thus, we expand its scope by comprehensively surveying relevant works. We develop a simple taxonomy for many-to-one and many-to-many image fusion, defining it as a mapping problem turning one or multiple images into another set based on desired coherence. Furthermore, we provide a meta-analysis to cover 10,420 peer-reviewed papers from the 1980s to 2023 studying various types of image fusion and their applications. Finally, we discuss image fusion's benefits and emerging challenges to provide open research directions."
Morphology-Based Feature Extraction Network for Arbitrary-Oriented SAR Vehicle Detection,"Chen, Ting; Huang, Xiaohong",pp. 665-673(9),Subscribed content,https://www.ingentaconnect.com/contentone/asprs/pers/2024/00000090/00000011/art00010;jsessionid=vj4y1qllys3s.x-ic-live-02,"In recent years, synthetic aperture radar (SAR) vehicle detection has become a research hotspot. However, algorithms using horizontal bounding boxes can lead to redundant detection areas due to the varying aspect ratio and arbitrary orientation of vehicle targets. This paper proposes a morphology-based feature extraction network (MFE-Net), which fully uses the prior shape knowledge of the vehicle targets. Specifically, we adopt rotatable bounding boxes to predict the targets, and a novel rectangular rotation-invariant coordinate convolution (RRICC) is proposed to extract the feature, which can determine more accurately the convolutional sampling location of the vehicles. The adaptive thresholding denoising module (ATDM) is designed to suppress background clutter. Furthermore, inspired by the convolutional neural networks (CNNs) and self-attention, we propose the hybrid representation enhancement module (HREM) to highlight the vehicle target features. The experiment results show that the proposed model obtains an average precision (AP) of 93.1% on the SAR vehicle detection data set (SVDD)."
Spatial-Spectral Middle Cross-Attention Fusion Network for Hyperspectral Image Superresolution,"Lang, Xiujuan; Lu, Tao; Zhang, Yanduo; Jiang, Junjun; Xiong, Zixiang",pp. 675-686(12),Subscribed content,https://www.ingentaconnect.com/contentone/asprs/pers/2024/00000090/00000011/art00011;jsessionid=vj4y1qllys3s.x-ic-live-02,"The spatial and spectral features of hyperspectral images exhibit complementarity, and neglecting them prevents the full exploitation of useful information for superresolution. This article proposes a spatial-spectral middle cross-attention fusion network to explore the spatial-spectral structure correlation. Initially, we learn spatial and spectral features through spatial and spectral branches instead of single ones to reduce information compression. Then, a novel middle-cross attention fusion block that includes middle features fusion strategy and cross-attention is proposed to fuse spatial-spectral features to enhance their mutual effects, which aims to explore the spatial-spectral structural correlations. Finally, we propose a spectral feature compensation mechanism to provide complementary information for adjacent band groups. The experimental results show that the proposed method outperforms state-of-the-art algorithms in object values and visual quality."
Machine Learning and New-Generation Spaceborne Hyperspectral Data Advance Crop Type Mapping,"Aneece, Itiya; Thenkabail, Prasad S.; McCormick, Richard; Alifu, Haireti; Foley, Daniel; Oliphant, Adam J.; Teluguntla, Pardhasaradhi",pp. 687-698(12),Open Access content,https://www.ingentaconnect.com/contentone/asprs/pers/2024/00000090/00000011/art00012;jsessionid=vj4y1qllys3s.x-ic-live-02,"Hyperspectral sensors provide near-continuous spectral data that can facilitate advancements in agricultural crop classification and characterization, which are important for addressing global food and water security issues. We investigated two new-generation hyperspectral sensors, Germany’s Deutsches Zentrum für Luft‐ und Raumfahrt Earth Sensing Imaging Spectrometer (DESIS) and Italy’s PRecursore IperSpettrale della Missione Applicativa (PRISMA), within California???s Central Valley in August 2021 focusing on five irrigated agricultural crops (alfalfa, almonds, corn, grapes, and pistachios). With reference data from the U.S. Department of Agriculture Cropland Data Layer, we developed a spectral library of the crops and classified them using three machine learning algorithms (support vector machines [SVM], random forest [RF], and spectral angle mapper [SAM]) and two philosophies: 1. Full spectral analysis (FSA) and 2. Optimal hyperspectral narrowband (OHNB) analysis. For FSA, we used 59 DESIS four-bin product bands and 207 of 238 PRISMA bands. For OHNB analysis, 9 DESIS and 16 PRISMA nonredundant OHNBs for studying crops were selected. FSA achieved only 1% to 3% higher accuracies relative to OHNB analysis in most cases. SVM provided the best results, closely followed by RF. Using both DESIS and PRISMA image OHNBs in SVM for classification led to higher accuracy than using either image alone, with an overall accuracy of 99%, producer’s accuracies of 94% to 100%, and user???s accuracies of 95% to 100%."
