"Month","Item Title","Item Type","DOI","Parent Title","Parent Type","Proprietary ID","ISSN","e-ISSN","ISBN","e-ISBN","Year","Volume","Issue","Total Downloads","Article Downloads","Preprint Downloads","PDF Downloads","HTML Downloads","Subscriber Downloads","Free Downloads","Open Access Downloads","Free Trial","Total Abstract Views","Article Abstract Views","Preprint Abstract Views","Publisher"
"2024/10","2020 ASPRS Awards Progam","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2020","86","5","0","0","0","0","0","0","0","0","0","1","1","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","2020 William T. Pecora Award Nominations","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2020","86","4","0","0","0","0","0","0","0","0","0","1","1","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","2021 PE&RS Reviewers","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2022","88","2","0","0","0","0","0","0","0","0","0","2","2","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","2022 Annual Conference at Geo Week in Denver, CO, February 6 - 8, 2022","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2022","88","1","0","0","0","0","0","0","0","0","0","3","3","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","2022 PE&RS Reviewers","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2023","89","3","0","0","0","0","0","0","0","0","0","2","2","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","2023 PE&RS Reviewers","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","6","0","0","0","0","0","0","0","0","0","2","2","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","2024 ASPRS Annual Workshops at Geo Week!","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","1","0","0","0","0","0","0","0","0","0","3","3","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","2024 Annual GeoChallenge","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","11","2","2","0","2","0","0","1","1","0","10","10","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","3D Imaging of the Environment: Mapping and Monitoring. John Meneely, Editor.","Article","10.14358/pers.90.9.533","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","9","2","2","0","2","0","0","0","2","0","31","31","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","3D Iterative Spatiotemporal Filtering for Classification of Multitemporal Satellite Data Sets","Article","10.14358/pers.86.1.23","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2020","86","1","0","0","0","0","0","0","0","0","0","11","11","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","3D Scene Modeling Method and Feasibility Analysis of River Water-Land Integration","Article","10.14358/pers.22-00127r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2023","89","6","1","1","0","1","0","0","0","1","0","9","9","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A Boundary-Based Ground-Point Filtering Method for Photogrammetric Point-Cloud Data","Article","10.14358/pers.21-00084r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2022","88","9","4","4","0","4","0","0","0","4","0","10","10","0","American Society for Photogrammetry and Remote Sensing"
