Month,Item Title,Item Type,DOI,Parent Title,Parent Type,Proprietary ID,ISSN,e-ISSN,ISBN,e-ISBN,Year,Volume,Issue,Total Downloads,Article Downloads,Preprint Downloads,PDF Downloads,HTML Downloads,Subscriber Downloads,Free Downloads,Open Access Downloads,Free Trial,Total Abstract Views,Article Abstract Views,Preprint Abstract Views,Publisher,Title,Abstract,Authors,Pages,Access,URL
2024/10,Automated 3D Reconstruction of LoD2 and LoD1 Models for All 10 Million Buildings of the Netherlands,Article,10.14358/pers.21-00032r2,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2022,88,3,22,22,0,22,0,0,0,22,0,189,189,0,American Society for Photogrammetry and Remote Sensing,,"In this paper, we present our workflow to automatically reconstruct three-dimensional (3D) building models based on two-dimensional building polygons and a lidar point cloud. The workflow generates models at different levels of detail (LoDs) to support data requirements of different applications from one consistent source. Specific attention has been paid to make the workflow robust to quickly run a new iteration in case of improvements in an algorithm or in case new input data become available. The quality of the reconstructed data highly depends on the quality of the input data and is monitored in several steps of the process. A 3D viewer has been developed to view and download the openly available 3D data at different LoDs in different formats. The workflow has been applied to all 10 million buildings of the Netherlands. The 3D service will be updated after new input data becomes available.","Peters, Ravi, Dukai, Balázs, Vitalis, Stelios, van Liempt, Jordi, Stoter, Jantien",,,https://doi.org/10.14358/pers.21-00032r2
2024/10,"Monitoring an Ecosystem in Crisis: Measuring Seagrass Meadow Loss Using Deep Learning in Mosquito Lagoon, Florida",Article,10.14358/pers.24-00001r2,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2024,90,6,15,15,0,15,0,0,0,15,0,40,40,0,American Society for Photogrammetry and Remote Sensing,,"The ecosystem of Mosquito Lagoon, Florida, has been rapidly deteriorating since the 2010s, with a notable decline in keystone seagrass species. Seagrass is vital for many species in the lagoon, but nutrient overloading, algal blooms, boating, manatee grazing, and other factors have led to its loss. To understand this decline, a deep neural network analyzed Landsat imagery from 2000 to 2020. Results showed significant seagrass loss post-2013, coinciding with the 2011–2013 super algal bloom. Seagrass abundance varied annually, with the model performing best in years with higher seagrass coverage. While the deep learning method successfully identified seagrass, it also revealed that recent seagrass coverage is almost non-existent. This monitoring approach could aid in ecosystem recovery if coupled with appropriate policies for Mosquito Lagoon's restoration.","Insalaco, Stephanie A., Herrero, Hannah V., Limber, Russ, Oliver, Clancy, Wolfson, William B.",,,https://doi.org/10.14358/pers.24-00001r2
2024/10,New Generation Hyperspectral Sensors DESIS and PRISMA Provide Improved Agricultural Crop Classifications,Article,10.14358/pers.22-00039r2,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2022,88,11,14,14,0,14,0,0,0,14,0,98,98,0,American Society for Photogrammetry and Remote Sensing,,"Using new remote sensing technology to study agricultural crops will support advances in food and water security. The recently launched, new generation spaceborne hyperspectral sensors, German DLR Earth Sensing Imaging Spectrometer (DESIS) and Italian PRecursore IperSpettrale della Missione Applicativa (PRISMA), provide unprecedented data in hundreds of narrow spectral bands for the study of the Earth. Therefore, our overarching goal in this study was to use these data to explore advances that can be made in agricultural research. We selected PRISMA and DESIS images during the 2020 growing season in California's Central Valley to study seven major crops. PRISMA and DESIS images were highly correlated (R 2of 0.9–0.95). Out of the 235 DESIS bands (400–1000 nm) and 238 PRISMA bands (400–2500 nm), 26 (11%) and 45 (19%) bands, respectively, were optimal to study agricultural crops. These optimal bands provided crop type classification accuracies of 83–90%. Hyperspectral vegetation indices to estimate plant pigment content, stress, biomass, moisture, and cellulose/lignin content were also identified.","Aneece, Itiya, Thenkabail, Prasad S.",,,https://doi.org/10.14358/pers.22-00039r2
2024/10,Real-Time Cross-View Image Matching and Camera Pose Determination for Unmanned Aerial Vehicles,Article,10.14358/pers.23-00073r2,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2024,90,6,14,14,0,14,0,0,0,14,0,50,50,0,American Society for Photogrammetry and Remote Sensing,,"In global navigation satellite systems (GNSS)-denied environments, vision-based methods are commonly used for the positioning and navigation of aerial robots. However, traditional methods often suffer from accumulative estimation errors over time, leading to trajectory drift and lack real-time performance, particularly in large-scale scenarios. This article presents novel approaches, including feature-based cross-view image matching and the integration of visual odometry and photogrammetric space resection for camera pose determination in real-time. Experimental evaluation with real UAV datasets demonstrated that the proposed method reliably matches features in cross-view images with large differences in spatial resolution, coverage, and perspective views, achieving a root-mean-square error of 4.7 m for absolute position error and 0.33° for rotation error, and delivering real-time performance of 12 frames per second (FPS) when implemented in a lightweight edge device onboard UAV. This approach offters potential for diverse intelligent UAV applications in GNSS-denied environments based on real-time feedback control.","Chen, Long, Wu, Bo, Duan, Ran, Chen, Zeyu",,,https://doi.org/10.14358/pers.23-00073r2
2024/10,Investigation of Underwater Photogrammetry Method with Cost-Effective Action Cameras and Comparative Analysis between Reconstructed 3D Point Clouds,Article,10.14358/pers.23-00042r2,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2024,90,4,12,12,0,12,0,2,0,10,0,58,58,0,American Society for Photogrammetry and Remote Sensing,,"Currently, digital cameras and equipment used underwater are often inaccessible to the general public due to their professional-grade quality and high cost. Therefore alternative solutions have been sought that are both cost-effective and suitable for nonprofessional use. A review of the literature shows that researchers primarily use GoPro action cameras, while other action cameras with similar capabilities are rarely used. This study thus examines underwater photogrammetry methods using a widely recognized action camera as a reference and compares it with another camera of similar characteristics as a potential alternative. For a comprehensive temporal analysis in underwater studies, both cameras were used to capture photographic and video imagery, and the resulting 3D point clouds were compared. Comparison criteria included data collection and processing times, point cloud densities, cloud-to-cloud analysis, and assessments of surface density and roughness. Having analysed, the study concluded that the proposed alternative action camera can feasibly be used in underwater photogrammetry.","Hamal, Seda Nur Gamze, Ulvi, Ali",,,https://doi.org/10.14358/pers.23-00042r2
2024/10,One-Dimensional-Mixed Convolution Neural Network and Covariance Pooling Model for Mineral Mapping of Porphyry Copper Deposit Using PRISMA Hyperspectral Data,Article,10.14358/pers.24-00006r2,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2024,90,8,12,12,0,12,0,0,0,12,0,54,54,0,American Society for Photogrammetry and Remote Sensing,,"Mapping distribution of alterations around porphyry copper deposits (PCDs) greatly affects mineral exploration. Diverse geological processes generate irregular alteration patterns with diverse spectral characteristics in mineral deposits. Applying remotely sensed hyperspectral images (HSIs) is an appealing technology for geologic surveyors to generate alteration maps. Conventional methods mainly use shallow spectral absorption features to discriminate minerals and cannot extract their important spectral information. Deep neural networks with nonlinear layers can evoke the deep spectral and spatial information of HSIs. Deep learning???based methods include fully connected neural networks, convolutional neural networks, and hybrid convolutional networks like mixed convolution neural network and covariance pooling (MCNN‐CP) algorithms. However, each has its advantages and limitations. To significantly avoid losing important spectral features, we proposed a new method by fusing a one‐dimensional convolutional neural network (1D‐CNN) with MCNN‐CP (1D‐MCNN‐CP), achieving an overall accuracy (97.44%) of mineral mapping from PRISMA HSIs. This research deduced that 1D‐MCNN‐CP improved performance and reduced misclassification errors among minerals sharing similar spectral features.","Peyghambari, Sima, Zhang, Yun, Heidarian, Hassan, Sekandari, Milad",,,https://doi.org/10.14358/pers.24-00006r2
2024/10,Diffuse Attenuation Coefficient (Kd ) from ICESat-2 ATLAS Spaceborne Lidar Using Random-Forest Regression,Article,10.14358/pers.21-00013r2,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2021,87,11,11,11,0,11,0,0,0,11,0,50,50,0,American Society for Photogrammetry and Remote Sensing,,"This study investigates a new method for measuring water turbidity—specifically, the diffuse attenuation coefficient of downwelling irradiance Kd —using data from a spaceborne, green-wavelength lidar aboard the National Aeronautics and Space Administration'sICESat-2satellite. The method enables us to fill nearshore data voids in existing Kd data sets and provides a more direct measurement approach than methods based on passive multispectral satellite imagery. Furthermore, in contrast to other lidar-based methods, it does not rely on extensive signal processing or the availability of the system impulse response function, and it is designed to be applied globally rather than at a specific geographic location. The model was tested using Kd measurements from the National Oceanic and Atmospheric Administration's Visible Infrared Imaging Radiometer Suite sensor at 94 coastal sites spanning the globe, with Kd values ranging from 0.05 to 3.6 m –1 . The results demonstrate the efficacy of the approach and serve as a benchmark for future machine-learning regression studies of turbidity usingICESat-2.","Corcoran, Forrest, Parrish, Christopher E.",,,https://doi.org/10.14358/pers.21-00013r2
2024/10,Discovering Potential Illegal Construction Within Building Roofs from UAV Images Using Semantic Segmentation and Object-Based Change Detection,Article,10.14358/pers.87.4.263,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2021,87,4,11,11,0,11,0,0,0,11,0,45,45,0,American Society for Photogrammetry and Remote Sensing,,"A novel potential illegal construction (PIC) detection method by bitemporal unmanned aerial vehicle (UAV ) image comparison (change detection) within building roof areas is proposed. In this method, roofs are first extracted from UAV images using a depth-channel improved UNet model. A two-step change detection scheme is then implemented for PIC detection. In the change detection stage, roofs with appearance, disappearance, and shape changes are first extracted by morphological analysis. Subroof primitives are then obtained by roof-constrained image segmentation within the remaining roof areas, and object-based iteratively reweighted multivariate alteration detection (IR-MAD ) is implemented to extract the small PICs from the subroof primitives. The proposed method organically combines deep learning and object-based image analysis, which can identify entire roof changes and locate small object changes within the roofs. Experiments show that the proposed method has better accuracy compared with the other counterparts, including the original IR-MAD, change vector analysis, and principal components analysis-K-means.","Liu, Yang, Sun, Yujie, Tao, Shikang, Wang, Min, Shen, Qian, Huang, Jiru",,,https://doi.org/10.14358/pers.87.4.263
2024/10,Multi-Spatial Resolution Satellite and sUAS Imagery for Precision Agriculture on Smallholder Farms in Malawi,Article,10.14358/pers.86.2.107,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2020,86,2,11,11,0,11,0,0,0,11,0,46,46,0,American Society for Photogrammetry and Remote Sensing,,"A collection of spectral indices, derived from a range of remote sensing imagery spatial resolutions, are compared to on-farm measurements of maize chlorophyll content and yield at two trial farms in central Malawi to evaluate what spatial resolutions are most effective for relating multispectral images with crop status. Single and multiple linear regressions were tested for spatial resolutions ranging from 7 cm to 20 m using a small unmanned aerial system (sUAS) and satellite imagery from Planet,SPOT6, Pléiades, and Sentinel-2. Results suggest that imagery with spatial resolutions nearer the maize plant scale (i.e., 14–27 cm) are most effective for relating spectral signals with crop health on smallholder farms in Malawi. Consistent with other studies, green-band indices were more strongly correlated with maize chlorophyll content and yield than conventional red-band indices, and multivariable models often outperformed single variable models.","Peter, Brad G., Messina, Joseph P., Carroll, Jon W., Zhi, Junjun, Chimonyo, Vimbayi, Lin, Shengpan, Snapp, Sieglinde S.",,,https://doi.org/10.14358/pers.86.2.107
2024/10,Assessing the Utility of Uncrewed Aerial System Photogrammetrically Derived Point Clouds for Land Cover Classification in the Alaska North Slope,Article,10.14358/pers.24-00016r1,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2024,90,7,10,10,0,10,0,0,0,10,0,31,31,0,American Society for Photogrammetry and Remote Sensing,,"Uncrewed aerial systems (UASs) have been used to collect “pseudo field plot” data in the form of large-scale stereo imagery to supplement and bolster direct field observations to monitor areas in Alaska. These data supplement field data that is difficult to collect in such a vast landscape with a relatively short field season. Dense photogrammetrically derived point clouds are created and are facilitated to extract land cover data using a support vector machine (SVM) classifier in this study. We test our approach using point clouds derived from 1-cm stereo imagery of plots in the Alaska North Slope region and compare the results to field observations. The results show that the overall accuracy of six land cover classes (bare soil, shrub, grass, forb/herb, rock, and litter) is 96.8% from classified patches. Shrub had the highest accuracy (>99%) and forb/herb achieved the lowest (<48%). This study reveals that the approach could be used as reference data to check field observations in remote areas.","Liu, Jung-kuan, Qin, Rongjun, Arundel, Samantha T.",,,https://doi.org/10.14358/pers.24-00016r1
