"Month","Item Title","Item Type","DOI","Parent Title","Parent Type","Proprietary ID","ISSN","e-ISSN","ISBN","e-ISBN","Year","Volume","Issue","Total Downloads","Article Downloads","Preprint Downloads","PDF Downloads","HTML Downloads","Subscriber Downloads","Free Downloads","Open Access Downloads","Free Trial","Total Abstract Views","Article Abstract Views","Preprint Abstract Views","Publisher"
"2024/07","2014 Introduction","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2016","82","7","0","0","0","0","0","0","0","0","0","1","1","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","2015 PE&RS Reviewers","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2016","82","4","0","0","0","0","0","0","0","0","0","4","4","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","2015-2016 PE&RS Book Reviewers","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2016","82","5","0","0","0","0","0","0","0","0","0","12","12","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","2016 GeoBytes","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2016","82","2","0","0","0","0","0","0","0","0","0","2","2","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","2016 GeoBytes","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2016","82","3","0","0","0","0","0","0","0","0","0","1","1","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","2016 GeoBytes","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2015","81","12","0","0","0","0","0","0","0","0","0","1","1","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","2016 GeoBytes","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2016","82","4","0","0","0","0","0","0","0","0","0","2","2","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","2016 Introduction—Things are Changing… Experience the New, Refreshed and Revised","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2016","82","7","0","0","0","0","0","0","0","0","0","3","3","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","2017 Flooding of Missouri's Meramec River","Article","10.14358/pers.83.8.526","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2017","83","8","0","0","0","0","0","0","0","0","0","4","4","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","2018 Media Kit","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2018","84","2","0","0","0","0","0","0","0","0","0","4","4","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","2018 Media Kit","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2018","84","3","0","0","0","0","0","0","0","0","0","4","4","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","2019 William T. Pecora Award Nominations","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2019","85","4","0","0","0","0","0","0","0","0","0","2","2","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","2020 ASPRS Awards Progam","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2020","86","5","0","0","0","0","0","0","0","0","0","4","4","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","2020 William T. Pecora Award Nominations","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2020","86","4","0","0","0","0","0","0","0","0","0","2","2","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","2021 PE&RS Reviewers","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2022","88","2","0","0","0","0","0","0","0","0","0","2","2","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","2022 Annual Conference at Geo Week in Denver, CO, February 6 - 8, 2022","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2022","88","1","1","1","0","1","0","0","0","1","0","6","6","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","2022 PE&RS Reviewers","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2023","89","3","0","0","0","0","0","0","0","0","0","39","39","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","2023 PE&RS Reviewers","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","6","2","2","0","2","0","0","0","2","0","5","5","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","2024 ASPRS Annual Workshops at Geo Week!","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","1","1","1","0","1","0","0","0","1","0","3","3","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","3D Building Model Reconstruction from Multi-view Aerial Imagery and Lidar Data","Article","10.14358/pers.77.2.125","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2011","77","2","4","4","0","4","0","0","0","4","0","30","30","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","3D Iterative Spatiotemporal Filtering for Classification of Multitemporal Satellite Data Sets","Article","10.14358/pers.86.1.23","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2020","86","1","0","0","0","0","0","0","0","0","0","13","13","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","3D SAR Simulation of Urban Areas Based on Detailed Building Models","Article","10.14358/pers.76.12.1373","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2010","76","12","0","0","0","0","0","0","0","0","0","18","18","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","3D Scene Modeling Method and Feasibility Analysis of River Water-Land Integration","Article","10.14358/pers.22-00127r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2023","89","6","0","0","0","0","0","0","0","0","0","28","28","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","3D Tree Reconstruction from Simulated Small Footprint Waveform Lidar","Article","10.14358/pers.79.12.1147","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2013","79","12","4","4","0","4","0","0","0","4","0","15","15","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","4FP-Structure: A Robust Local Region Feature Descriptor","Article","10.14358/pers.83.12.813","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2017","83","12","0","0","0","0","0","0","0","0","0","6","6","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A 16-year Time Series of 1 km AVHRR Satellite Data of the Conterminous United States and Alaska","Article","10.14358/pers.72.9.1027","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2006","72","9","0","0","0","0","0","0","0","0","0","12","12","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Basis for Estimating Digital Camera Parameters","Article","10.14358/pers.70.3.297","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2004","70","3","0","0","0","0","0","0","0","0","0","12","12","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Bottom-up Approach to Vegetation Mapping of the Lake Tahoe Basin Using Hyperspatial Image Analysis","Article","10.14358/pers.72.5.581","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2006","72","5","2","2","0","2","0","0","0","2","0","6","6","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Boundary-Based Ground-Point Filtering Method for Photogrammetric Point-Cloud Data","Article","10.14358/pers.21-00084r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2022","88","9","0","0","0","0","0","0","0","0","0","6","6","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A CNN-Based Subpixel Level DSM Generation Approach via Single Image Super-Resolution","Article","10.14358/pers.85.10.765","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2019","85","10","0","0","0","0","0","0","0","0","0","15","15","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Case Study of Developing An Olive Tree Database For Turkey","Article","10.14358/pers.75.12.1397","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2009","75","12","0","0","0","0","0","0","0","0","0","10","10","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Coarse Elevation Map-based Registration Method for Super-resolution of Three-line Scanner Images","Article","10.14358/pers.79.8.717","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2013","79","8","0","0","0","0","0","0","0","0","0","4","4","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Combined Object- and Pixel-Based Image Analysis Framework for Urban Land Cover Classification of VHR Imagery","Article","10.14358/pers.79.11.999","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2013","79","11","0","0","0","0","0","0","0","0","0","10","10","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Combined Unmixing Framework for Impervious Surface Mapping on Medium-Resolution Images with Visible Shadows","Article","10.14358/pers.87.6.431","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2021","87","6","2","2","0","2","0","0","0","2","0","9","9","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Comparative Assessment of the Photogrammetric Accuracy of Mapping Using UAVs with Smart Devices","Article","10.14358/pers.85.12.889","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2019","85","12","0","0","0","0","0","0","0","0","0","7","7","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Comparative Study of Australian Cartometric and Photogrammetric Digital Elevation Model Accuracy","Article","10.14358/pers.72.7.771","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2006","72","7","1","1","0","1","0","0","0","1","0","7","7","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Comparative Study of Land Cover Classification Techniques for Farmscapes Using Very High Resolution Remotely Sensed Data","Article","10.14358/pers.80.5.461","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2014","80","5","0","0","0","0","0","0","0","0","0","1","1","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Comparative Study of Landsat TM and SPOT HRG Images for Vegetation Classification in the Brazilian Amazon","Article","10.14358/pers.74.3.311","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2008","74","3","0","0","0","0","0","0","0","0","0","5","5","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Comparison of AVIRIS and Landsat for Land Use Classification at the Urban Fringe","Article","10.14358/pers.70.7.813","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2004","70","7","0","0","0","0","0","0","0","0","0","2","2","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Comparison of Coincident Landsat-5 TM and Resourcesat-1 AWiFS Imagery for Classifying Croplands","Article","10.14358/pers.74.11.1413","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2008","74","11","0","0","0","0","0","0","0","0","0","2","2","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Comparison of Four Common Atmospheric Correction Methods","Article","10.14358/pers.73.4.361","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2007","73","4","4","4","0","4","0","0","0","4","0","52","52","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Comparison of Individual Tree and Forest Plot Height Derived from Lidar and InSAR","Article","10.14358/pers.75.2.159","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2009","75","2","0","0","0","0","0","0","0","0","0","7","7","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Comparison of Multispectral ASTER and Hyperspectral AVIRIS Multiple Endmember Spectral Mixture Analysis for Sagebrush and Herbaceous Cover in Yellowstone","Article","10.14358/pers.78.1.23","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2012","78","1","0","0","0","0","0","0","0","0","0","2","2","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Comparison of Standard and Hybrid Classifier Methods for Mapping Hardwood Mortality in Areas Affected by Sudden Oak Death","Article","10.14358/pers.70.11.1229","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2004","70","11","0","0","0","0","0","0","0","0","0","11","11","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Comparison of Urban Mapping Methods Using High-Resolution Digital Imagery","Article","10.14358/pers.69.9.963","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2003","69","9","1","1","0","1","0","0","0","1","0","23","23","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Comparison of Vector and Raster GIS Methods for Calculating Landscape Metrics Used in Environmental Assessments","Article","10.14358/pers.69.12.1399","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2003","69","12","7","7","0","7","0","0","0","7","0","26","26","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Complete High-Resolution Coastline of Antarctica Extracted from Orthorectified Radarsat SAR Imagery","Article","10.14358/pers.70.5.605","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2004","70","5","2","2","0","2","0","0","0","2","0","18","18","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Comprehensive Analysis of Building Damage in the 12 January 2010 Mw7 Haiti Earthquake Using High-Resolution Satelliteand Aerial Imagery","Article","10.14358/pers.77.10.0997","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2011","77","10","1","1","0","1","0","0","0","1","0","21","21","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Conceptual Framework for the Simultaneous Extraction of Sub-pixel Spatial Extent and Spectral Characteristics of Crops","Article","10.14358/pers.75.1.57","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2009","75","1","0","0","0","0","0","0","0","0","0","2","2","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Critical Evaluation of the Normalized Error Matrix in Map Accuracy Assessment","Article","10.14358/pers.70.6.743","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2004","70","6","2","2","0","2","0","0","0","2","0","21","21","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Data Providers View of The National Map","Article","10.14358/pers.69.10.1155","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2003","69","10","1","1","0","1","0","0","0","1","0","3","3","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Deep Multi-Modal Learning Method and a New RGB-Depth Data Set for Building Roof Extraction","Article","10.14358/pers.21-00007r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2021","87","10","0","0","0","0","0","0","0","0","0","5","5","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Different Point-of-View — Using Aerial Imagery to Build Stronger Cities","Article","10.14358/pers.89.1.5","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2023","89","1","0","0","0","0","0","0","0","0","0","74","74","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Digital Terrain Modeling Method in Urban Areas by the ICESat-2 (Generating precise terrain surface profiles from photon-counting technology)","Article","10.14358/pers.87.4.237","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2021","87","4","3","3","0","3","0","0","0","3","0","22","22","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Disturbance-Inventory Framework for Flexible and Reliable Landscape Monitoring","Article","10.14358/pers.75.8.981","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2009","75","8","0","0","0","0","0","0","0","0","0","3","3","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Double-Strategy-Check Active Learning Algorithm for Hyperspectral Image Classification","Article","10.14358/pers.85.11.841","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2019","85","11","0","0","0","0","0","0","0","0","0","8","8","0","American Society for Photogrammetry and Remote Sensing"
"2024/07","A Dynamic Method for Generating Multi-Resolution TIN Models","Article","10.14358/pers.71.8.917","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2005","71","8","0","0","0","0","0","0","0","0","0","1","1","0","American Society for Photogrammetry and Remote Sensing"
