Title,Authors,Pages,Access,URL,Abstract
Accuracy Assessment of Dense Point Cloud Generated by Deep Learning and Semiglobal Matching,"Sadeq, Haval Abduljabbar",pp. 153-162(10),Subscribed content,https://www.ingentaconnect.com/contentone/asprs/pers/2025/00000091/00000003/art00010;jsessionid=ij66bl01dbpe.x-ic-live-01,"This study assesses two techniques for generating point clouds based on dense image matching (DIM): semiglobal matching (SGM) implemented in Trimble INPHO MATCH-3DX software, and a deep-learning algorithm Pyramid Stereo Matching Network (PSMNet). The PSMNet was trained using three datasets with both automated driving and aerial scenes. Two other distinctive sites were selected to assess the accuracy against LiDAR data. The study found inaccuracies in the PSMNet point clouds and suggested that SGM could potentially result in a better outcome. However, for flat slab or ground surface, its root-mean-square error is better than SGM. The analysis showed that the SGM analyses favorably remove points on vertical surfaces due to occlusion, while PSMNet incorrectly extrapolate them with slopes. Furthermore, the assessment identified the potential to improve PSMNet by using more or in-distribution training dataset for test (unseen) areas."
A Comparative Study of Deep Learning Methods for Automated Road Network Extraction from High-Spatial-Resolution Remotely Sensed Imagery,"Zhou, Haochen; He, Hongjie; Xu, Linlin; Ma, Lingfei; Zhang, Dedong; Chen, Nan; Chapman, Michael A.; Li, Jonathan",pp. 163-174(12),Open Access content,https://www.ingentaconnect.com/contentone/asprs/pers/2025/00000091/00000003/art00011;jsessionid=ij66bl01dbpe.x-ic-live-01,"Road network data are crucial for various applications, such as road network planning, traffic control, map navigation, autonomous driving, and smart city construction. Automated road network extraction from high-spatial-resolution remotely sensed imagery has shown promise in road network data construction. In recent years, the advent of deep learning algorithms has pushed road network extraction towards auto - mation, achieving very high accuracy. However, the latest deep learning models are often less applied in the field of road network extraction and lack comparative experiments for guidance. Therefore, this research selected three recent deep learning algorithms, including dense prediction transformer (DPT), SegFormer, SEgmentation TRansformer (SETR), and the classic model fully convolutional network-8s (FCN-8s) for a comparative study. Additionally, this research paper compares three different decoder structures within the SETR model (SETR_naive, SETR_mla, SETR_pup) to investigate the effect of different decoders on the road network extraction task. The experiment is conducted on three commonly used datasets: the DeepGlobe Dataset, the Massachusetts Dataset, and Road Datasets in Complex Mountain Environments (RDCME). The DPT model outperforms other models on the Massachusetts dataset with superior reliability, achieving a high accuracy of 96.31% and excelling with a precision of 81.78% and recall of 32.50%, leading to an F1 score of 46.51%. While SegFormer has a slightly higher F1 score, DPT's precision is particularly valuable for minimizing false positives, making it the most balanced and reliable choice. Similarly, for the DeepGlobe Dataset, DPT achieves an accuracy of 96.76%, precision of 66.12%, recall of 41.37%, and F1 score of 50.89%, and for RDCME, DPT achieves an accuracy of 98.94%, precision of 99.07%, recall of 99.84%, and F1 score of 99.46%, confirming its consistent performance across datasets. This paper provides valuable guidance for future studies on road network extraction techniques using deep learning algorithms."
Real-time Vanishing Point Tracking in Manhattan World Using Improved BaySAC,"Ye, Chenming; Kang, Zhizhong; Cai, Jinhao; Zhu, Longze",pp. 175-186(12),Subscribed content,https://www.ingentaconnect.com/contentone/asprs/pers/2025/00000091/00000003/art00013;jsessionid=ij66bl01dbpe.x-ic-live-01,"Vanishing points provide geometric information about a scene and assist in camera calibration, scene understanding, and 3D reconstruction. The random sample consensus (RANSAC) algorithm faces challenges of low efficiency and insufficient robustness. With prior information, the Bayesian sample consensus (BaySAC) algorithm can efficiently derive the correct parameters and compensate for the deficiencies of the RANSAC algorithm. This study proposes an improved BaySAC vanish - ing point detection algorithm, which uses a linear grouping strategy to enhance the distribution of inliers across groups and accelerate convergence. In the continuous frame vanishing point tracking problem, the detection result of the previous frame is employed as a priori infor - mation for the subsequent frames, facilitating efficient convergence for vanishing point detection and tracking in videos. Experimental results on both benchmark datasets and real-world image sets demonstrate that the proposed method achieves remarkable accuracy and efficiency, enabling real-time performance for vanishing point detection and track- ing. The code is available at https://github. com/CHEMYE/BaySAC."
Spatiotemporal Behavior of Active Forest Fires Using Time-Series MODIS C6 Data,"Azimuddin, Syed; Dwivedi, R.S.",pp. 85-90(6),Subscribed content,https://www.ingentaconnect.com/contentone/asprs/pers/2025/00000091/00000002/art00008;jsessionid=1h9r50h4xxqsl.x-ic-live-01,"Forest fires have a profound influence on the economy, ecology, and environment. Realizing the potential of remote sensing in forest fire management, a study was taken up to investigate the spatiotemporal behavior of active forest fires in a mountainous terrain of Uttarakhand State, north India, using 15 years' time-series historical MODIS (C6) active fire point products. Results indicate an over-all fire incidence detection accuracy of 62.3% with a KHAT value of 0.59. Moreover, a regular trend in intra-annual behavior in fire incidences with peaks during the hot and dry period of the year was observed and a large year-to-year variability in fire regimes with no significant trends over time could be noticed. The approach and results are discussed in detail along with the future perspective."
Artificial Neural Network Multi-layer Perceptron Models to Classify California's Crops using Harmonized Landsat Sentinel (HLS) Data,"McCormick, Richard; Thenkabail, Prasad S.; Aneece, Itiya; Teluguntla, Pardhasaradhi; Oliphant, Adam J.; Foley, Daniel",pp. 91-100(10),Open Access content,https://www.ingentaconnect.com/contentone/asprs/pers/2025/00000091/00000002/art00010;jsessionid=1h9r50h4xxqsl.x-ic-live-01,"Advances in remote sensing and machine learning are enhancing cropland classification, vital for global food and water security. We used multispectral Harmonized Landsat 8 Sentinel-2 (HLS) 30-m data in an artificial neural network (ANN) multi-layer perceptron (MLP) model to classify five crop classes (cotton, alfalfa, tree crops, grapes, and others) in California's Central Valley. The ANN MLP model, trained on 2021 data from the United States Department of Agriculture's Cropland Data Layer, was validated by classifying crops for an independent year, 2022. Across the five crop classes, the overall accuracy was 74%. Producer's and user's accuracies ranged from 65% to 87%, with cotton achieving the highest accuracies. The study highlights the potential of using deep learning with HLS time series data for accurate global crop classification."
Individual Tree Segmentation Using Deep Learning and Climbing Algorithm: A Method for Achieving High-precision Single-tree Segmentation in High-density Forests under Complex Environments,"Ma, He; Zhang, Fangmin; Chen, Simin; Yu, Jinge",pp. 101-110(10),Subscribed content,https://www.ingentaconnect.com/contentone/asprs/pers/2025/00000091/00000002/art00011;jsessionid=1h9r50h4xxqsl.x-ic-live-01,"Accurate individual tree segmentation, which is important for forestry investigation, is still a difficult and challenging task. In this study, we developed a climbing algorithm and combined it with a deep learning model to extract forests and achieve individual tree segmentation using lidar point clouds. We tested the algorithm on mixed forests within complex environments scanned by unmanned aircraft system lidar in ecological restoration mining areas along the Yangtze River of China. Quantitative assessments of the segmentation results showed that the forest extraction achieved a kappa coefficient of 0.88, and the individual tree segmentation results achieved F-scores ranging from 0.86 to 1. The climbing algorithm successfully reduced false positives and false negatives with the increased crown overlapping and outperformed the widely used top-down region-growing point cloud segmentation method. The results indicate that the climbing algorithm proposed in this study will help solve the overlapped crown problem of tree segmentation under complex environments."
Lightweight Ship Object Detection Algorithm for Remote Sensing Images Based on Multi-scale Perception and Feature Enhancement,"Sun, Wei; Shen, Xinyi; Zhang, Xiaorui; Guan, Fei",pp. 111-122(12),Subscribed content,https://www.ingentaconnect.com/contentone/asprs/pers/2025/00000091/00000002/art00012;jsessionid=1h9r50h4xxqsl.x-ic-live-01,"As global trade and maritime traffic develop, exploring ship detection in remote sensing images has become a research hotspot. However, ships in remote sensing images are so small that it leads to a high detection leakage rate and excessive model parameters, making them difficult to apply on remote sensing equipment with limited resources. To address the challenge, we propose a light-weight ship object detection algorithm, adaptive layered multi-scale You Only Look Once version 8 (ALM-YOLOv8), based on multi-scale perception and feature enhancement. To enhance the model's perception of contextual information in complex backgrounds, a multi-scale channel fusion module is constructed to extract features of various scales. To enhance the extracted features, a small-object detection layer and a dynamic channel attention convolution that assigns dynamic weights are proposed. Additionally, this study embeds the large separable kernel attention mechanism into the original network, which lightens the model. Experiments on the HRSC2016 dataset demonstrate the effectiveness of ALM-YOLOv8."
Landslide Evolution Assessment Based on Sequential InSAR Methods in the Kunming Transmission Line Corridor,"Wen, Gang; Li, Yizuo; Xie, Chuhang; Zheng, Zezhong; Ma, Yi; Zhou, Fangrong; Su, Baiyan; Tang, Huahui",pp. 19-25(7),Subscribed content,https://www.ingentaconnect.com/contentone/asprs/pers/2025/00000091/00000001/art00009;jsessionid=2c82syq303354.x-ic-live-02,"The security of the transmission line corridor is an important guar- antee for the sustainable supply of electricity and an important prerequisite for the rapid development of the economy. Transmission corridors located in high mountains and valleys are often threatened by geological disasters, which seriously affect their stable operation. This research investigates the landslide in the Kunming transmission corridor using 79 Sentinel-1A SAR images from July 2020 to October 2021. Using interferometric synthetic aperture radar (InSAR) methods, deformation changes before the landslide are analyzed. Factors like precipitation, lithology, and vegetation coverage demonstrate a correlation with landslide occurrence. Seasonal variations in deformation were related to precipitation. The landslide's primary causes are attributed to precipitation, carbonate karstification, and vegetation coverage. Ultimately, this research establishes a correlation between deformation changes and influencing factors in the Kunming transmission corridor, contributing to a deeper understanding of landslide evolution and ensuring the corridor's security for sustainable electricity supply and economic development."
Adaptive Orientation Object-Detection Method for Large-scale Remote Sensing Images Based on Multi-scale Block Fusion,"Wang, Yanli; Dong, Zhipeng; Wang, Mi; Ding, Yi",pp. 27-34(8),Subscribed content,https://www.ingentaconnect.com/contentone/asprs/pers/2025/00000091/00000001/art00012;jsessionid=2c82syq303354.x-ic-live-02,"Object detection is crucial to extracting and analyzing information autonomously from high-resolution remote sensing images (HRSIs). To address ideal blocking for large-scale  HRSI object detection, this study uses a novel adaptive orientation object-detection method for largescale HRSIs based on multi-scale block fusion. An adaptive orientation object-detection  framework based on a convolutional neural network is applied to detect diverse objects of large-scale HRSIs through different block scales; average precision (AP) values of diverse object  detection results are calculated at different block scales. Then, block scales matching the largest AP values of diverse objects are determined based on statistical results of the AP  values of the diverse object at different block scales. Finally, object-detection results at block scales matching the largest AP values of diverse objects are fused by the non-maximum  suppression algorithm to achieve large-scale HRSI object-detection results. Experimental findings reveal that the proposed method is better than any single block-scale object-detection  method, resulting in satisfactory large-scale HRSI object-detection results."
RSODNet: Lightweight Remote Sensing Image Object Detection Combined with BCDNS Compression Algorithm,"Zhu, Xinyu; Zhang, Zhihua; Wang, Wei; Hou, Yuhao; Yang, Shuwen",pp. 35-51(17),Subscribed content,https://www.ingentaconnect.com/contentone/asprs/pers/2025/00000091/00000001/art00013;jsessionid=2c82syq303354.x-ic-live-02,"In recent years, with the gradual increase of neural network Params (the aggregate of trainable elements in a model, including weights, biases, and other adjustable elements)  and calculation volume, model compression within an acceptable range of network accuracy variations has emerged as a prominent research focus in the field of deep learning. Model  pruning and knowledge distillation have been widely used for reducing the complexity and storage cost of neural networks. This study designs the Remote Sensing Object Detection Network  (RSODNet), a lightweight model for remote sensing image object detection, and proposes bridging cross-task distillation network slimming (BCDNS) as a method that integrates model pruning and  knowledge distillation. The experiment results indicate that RSODNet outperforms the YOLOv8 model in various metrics while maintaining almost unchanged Params and calculation volume. The  BCDNS method eliminates redundant channels while preserving a priori knowledge of the initial model intact. This study offers technical support for compressed models used in object detection  from remote sensing images"
