Journal Title,Publisher Name,Link to Journal
Ab va Fazilab,Directory of Open Access Journals,/content/doaj/10245936;jsessionid=dif5jnh30f2q.x-ic-live-02
Abant İzzet Baysal Üniversitesi Sosyal Bilimler Enstitüsü Dergisi,Directory of Open Access Journals,/content/doaj/13030035;jsessionid=dif5jnh30f2q.x-ic-live-02
ABCD: Arquivos Brasileiros de Cirurgia Digestiva,Directory of Open Access Journals,/content/doaj/01026720;jsessionid=dif5jnh30f2q.x-ic-live-02
ABO : Interactive Journal for Women in the Arts 1640-1830,Directory of Open Access Journals,/content/doaj/21577129;jsessionid=dif5jnh30f2q.x-ic-live-02
About Women and Men,CNPIEC,/content/cnpiec/24275;jsessionid=dif5jnh30f2q.x-ic-live-02
Abra,Directory of Open Access Journals,/content/doaj/14093928;jsessionid=dif5jnh30f2q.x-ic-live-02
Abril,Directory of Open Access Journals,/content/doaj/19842090;jsessionid=dif5jnh30f2q.x-ic-live-02
Abriu: Estudos de Textualidade do Brasil,Directory of Open Access Journals,/content/doaj/20148526;jsessionid=dif5jnh30f2q.x-ic-live-02
Abstract and Applied Analysis,Directory of Open Access Journals,/content/doaj/10853375;jsessionid=dif5jnh30f2q.x-ic-live-02
Abuse: An International Impact Journal,Three Quays Publishing,/content/quays/abuse;jsessionid=dif5jnh30f2q.x-ic-live-02
Academia Revista Latinoamericana de Administración,Emerald Group Publishing Limited,/content/mcb/arla;jsessionid=dif5jnh30f2q.x-ic-live-02
Academia y Virtualidad,Directory of Open Access Journals,/content/doaj/20110731;jsessionid=dif5jnh30f2q.x-ic-live-02
Academic Journal of Business,Directory of Open Access Journals,/content/doaj/24103918;jsessionid=dif5jnh30f2q.x-ic-live-02
Academic Journal of Economic Studies,Directory of Open Access Journals,/content/doaj/23934913;jsessionid=dif5jnh30f2q.x-ic-live-02
Academic Medicine,Wolters Kluwer,/content/wk/acm;jsessionid=dif5jnh30f2q.x-ic-live-02
Academicus : International Scientific Journal,Directory of Open Access Journals,/content/doaj/20793715;jsessionid=dif5jnh30f2q.x-ic-live-02
