Journal Title,Publisher Name,Link to Journal,Print ISSN,Online ISSN,Latest Issue
Ab va Fazilab,Directory of Open Access Journals,/content/doaj/10245936;jsessionid=dif5jnh30f2q.x-ic-live-02,10245936,N/A,"Number 5, 2017"
Abant İzzet Baysal Üniversitesi Sosyal Bilimler Enstitüsü Dergisi,Directory of Open Access Journals,/content/doaj/13030035;jsessionid=dif5jnh30f2q.x-ic-live-02,13030035,N/A,"Number 1, 2017"
ABCD: Arquivos Brasileiros de Cirurgia Digestiva,Directory of Open Access Journals,/content/doaj/01026720;jsessionid=dif5jnh30f2q.x-ic-live-02,01026720,N/A,"Number 1, 2013"
ABO : Interactive Journal for Women in the Arts 1640-1830,Directory of Open Access Journals,/content/doaj/21577129;jsessionid=dif5jnh30f2q.x-ic-live-02,21577129,N/A,"Number 1, 2018"
About Women and Men,CNPIEC,/content/cnpiec/24275;jsessionid=dif5jnh30f2q.x-ic-live-02,N/A,N/A,N/A
Abra,Directory of Open Access Journals,/content/doaj/14093928;jsessionid=dif5jnh30f2q.x-ic-live-02,14093928,N/A,"Number 54, 2017"
Abril,Directory of Open Access Journals,/content/doaj/19842090;jsessionid=dif5jnh30f2q.x-ic-live-02,19842090,N/A,"Number 18, 2017"
Abriu: Estudos de Textualidade do Brasil,Directory of Open Access Journals,/content/doaj/20148526;jsessionid=dif5jnh30f2q.x-ic-live-02,20148526,N/A,"Number 5, 2016"
Abstract and Applied Analysis,Directory of Open Access Journals,/content/doaj/10853375;jsessionid=dif5jnh30f2q.x-ic-live-02,10853375,N/A,"Number 8, 2005"
Abuse: An International Impact Journal,Three Quays Publishing,/content/quays/abuse;jsessionid=dif5jnh30f2q.x-ic-live-02,26338742,N/A,"Number 2, 1 October 2024"
Academia Revista Latinoamericana de Administración,Emerald Group Publishing Limited,/content/mcb/arla;jsessionid=dif5jnh30f2q.x-ic-live-02,10128255,N/A,"Number 3, 2024"
Academia y Virtualidad,Directory of Open Access Journals,/content/doaj/20110731;jsessionid=dif5jnh30f2q.x-ic-live-02,20110731,N/A,"Number 2, 2017"
Academic Journal of Business,Directory of Open Access Journals,/content/doaj/24103918;jsessionid=dif5jnh30f2q.x-ic-live-02,24103918,N/A,"Number 1, 2017"
Academic Journal of Economic Studies,Directory of Open Access Journals,/content/doaj/23934913;jsessionid=dif5jnh30f2q.x-ic-live-02,23934913,N/A,"Number 2, 2018"
Academic Medicine,Wolters Kluwer,/content/wk/acm;jsessionid=dif5jnh30f2q.x-ic-live-02,10402446,10402446,"Number 11, 1 November 2024"
Academicus : International Scientific Journal,Directory of Open Access Journals,/content/doaj/20793715;jsessionid=dif5jnh30f2q.x-ic-live-02,20793715,N/A,"Number 18, 2018"
Accelerando: BJMD,Directory of Open Access Journals,/content/doaj/24663913;jsessionid=dif5jnh30f2q.x-ic-live-02,24663913,N/A,"Number 1, 2016"
Acción Psicológica,Directory of Open Access Journals,/content/doaj/1578908x;jsessionid=dif5jnh30f2q.x-ic-live-02,1578908X,N/A,"Number 1, 2018"
Accountability in Research: Policies and Quality Assurance,Taylor and Francis Ltd,/content/tandf/gacr;jsessionid=dif5jnh30f2q.x-ic-live-02,08989621,08989621,"Number 6, 17 August 2024"
Accounting,Directory of Open Access Journals,/content/doaj/23697393;jsessionid=dif5jnh30f2q.x-ic-live-02,23697393,N/A,"Number 4, 2018"
Accounting Analysis Journal,Directory of Open Access Journals,/content/doaj/22526765;jsessionid=dif5jnh30f2q.x-ic-live-02,22526765,N/A,"Number 2, 2017"
Accounting and Business Research,"Routledge, part of the Taylor & Francis Group",/content/routledg/rabr20;jsessionid=dif5jnh30f2q.x-ic-live-02,00014788,00014788,"Number 5, 28 July 2024"
"Accounting, Auditing & Accountability Journal",Emerald Group Publishing Limited,/content/mcb/059;jsessionid=dif5jnh30f2q.x-ic-live-02,09513574,N/A,"Number 9, 2024"
"Accounting, Business & Financial History","Routledge, part of the Taylor & Francis Group",/content/routledg/rabf;jsessionid=dif5jnh30f2q.x-ic-live-02,09585206,09585206,"Number 3, November 2009"
Accounting Education,"Routledge, part of the Taylor & Francis Group",/content/routledg/raed;jsessionid=dif5jnh30f2q.x-ic-live-02,09639284,09639284,"Number 4, 3 July 2024"
