Journal Title,Publisher Name,Link to Journal,printISSN,onlineISSN,LatestIssues
Workforce Education Forum (WEF),Workforce Education Forum (WEF),/content/psu/wef;jsessionid=dif5jnh30f2q.x-ic-live-02,23781904,N/A,"Number 1, October 2019"
Academic Medicine,Wolters Kluwer,/content/wk/acm;jsessionid=dif5jnh30f2q.x-ic-live-02,10402446,10402446,"Number 11, 1 November 2024"
Addictive Disorders & Their Treatment,Wolters Kluwer,/content/wk/addit;jsessionid=dif5jnh30f2q.x-ic-live-02,15315754,15315754,"Number 4, 9 December 2020"
Advanced Emergency Nursing Journal,Wolters Kluwer,/content/wk/tme;jsessionid=dif5jnh30f2q.x-ic-live-02,19314485,19314485,"Number 4, 05 October/December 2024"
Advances In Anatomic Pathology,Wolters Kluwer,/content/wk/adapa;jsessionid=dif5jnh30f2q.x-ic-live-02,10724109,10724109,"Number 6, 4 November 2024"
Advances in Neonatal Care,Wolters Kluwer,/content/wk/anc;jsessionid=dif5jnh30f2q.x-ic-live-02,15360903,15360903,"Number 5, 27 October 2024"
Advances in Nursing Science,Wolters Kluwer,/content/wk/ans;jsessionid=dif5jnh30f2q.x-ic-live-02,01619268,01619268,"Number 4, 20 October/December 2024"
Adverse Drug Reaction Bulletin,Wolters Kluwer,/content/wk/fad;jsessionid=dif5jnh30f2q.x-ic-live-02,00446394,00446394,"Number 1, October 2024"
AIDS,Wolters Kluwer,/content/wk/aids;jsessionid=dif5jnh30f2q.x-ic-live-02,02699370,02699370,"Number 14, 15 November 2024"
"AJN, American Journal of Nursing",Wolters Kluwer,/content/wk/ajn;jsessionid=dif5jnh30f2q.x-ic-live-02,0002936X,N/A,"Number 11, 24 November 2024"
Alzheimer Disease & Associated Disorders,Wolters Kluwer,/content/wk/wad;jsessionid=dif5jnh30f2q.x-ic-live-02,08930341,08930341,"Number 3, 5 July-September 2024"
American Journal of Clinical Oncology,Wolters Kluwer,/content/wk/ajco;jsessionid=dif5jnh30f2q.x-ic-live-02,02773732,02773732,"Number 11, 28 November 2024"
"American Journal of Dermatopathology, The",Wolters Kluwer,/content/wk/dad;jsessionid=dif5jnh30f2q.x-ic-live-02,01931091,N/A,"Number 11, November 2024"
"American Journal of Gastroenterology, The",Wolters Kluwer,/content/wk/ajg;jsessionid=dif5jnh30f2q.x-ic-live-02,00029270,00029270,"Number 11, 5 November 2024"
"American Journal of Surgical Pathology, The",Wolters Kluwer,/content/wk/ajsp;jsessionid=dif5jnh30f2q.x-ic-live-02,01475185,01475185,"Number 12, 11 December 2024"
American Journal of Therapeutics,Wolters Kluwer,/content/wk/ajt;jsessionid=dif5jnh30f2q.x-ic-live-02,10752765,N/A,"Number 5, September/October 2024"
Anesthesia & Analgesia,Wolters Kluwer,/content/wk/ane;jsessionid=dif5jnh30f2q.x-ic-live-02,00032999,00032999,"Number 5, 21 October 2024"
Anesthesiology,Wolters Kluwer,/content/wk/aln;jsessionid=dif5jnh30f2q.x-ic-live-02,00033022,00033022,"Number 4, 09 September 2024"
Annals of Pediatric Surgery,Wolters Kluwer,/content/wk/anpsur;jsessionid=dif5jnh30f2q.x-ic-live-02,16874137,N/A,"Number 3, July 2018"
Annals of Surgery,Wolters Kluwer,/content/wk/sla;jsessionid=dif5jnh30f2q.x-ic-live-02,00034932,00034932,"Number 6, 20 December 2024"
Anti-Cancer Drugs,Wolters Kluwer,/content/wk/ancad;jsessionid=dif5jnh30f2q.x-ic-live-02,09594973,09594973,"Number 10, 07 November 2024"
Applied Immunohistochemistry & Molecular Morphology,Wolters Kluwer,/content/wk/aimm;jsessionid=dif5jnh30f2q.x-ic-live-02,15412016,N/A,"Number 10, 7 November/December 2024"
"Arteriosclerosis, Thrombosis, and Vascular Biology",Wolters Kluwer,/content/wk/atv;jsessionid=dif5jnh30f2q.x-ic-live-02,10795642,10795642,"Number 11, 05 September 2024"
